1.000 4.137
0.980 4.110
0.960 4.084
0.940 4.067
0.920 4.055
0.900 4.045
0.880 4.031
0.860 4.022
0.840 4.010
0.820 4.005
0.800 3.994
0.780 3.980
0.760 3.966
0.740 3.948
0.720 3.932
0.700 3.917
0.680 3.905
0.660 3.890
0.640 3.881
0.620 3.870
0.600 3.861
0.580 3.853
0.560 3.839
0.540 3.829
0.520 3.822
0.500 3.809
0.480 3.799
0.460 3.785
0.440 3.772
0.420 3.754
0.400 3.734
0.380 3.712
0.360 3.688
0.340 3.664
0.320 3.640
0.300 3.614
0.280 3.594
0.260 3.575
0.240 3.557
0.220 3.537
0.200 3.518
0.180 3.498
0.160 3.477
0.140 3.456
0.120 3.437
0.100 3.419
0.080 3.384
0.060 3.335
0.040 3.248
0.020 3.127
0.000 3.007
