1.000 4.158
0.980 4.123
0.960 4.095
0.940 4.072
0.920 4.054
0.900 4.036
0.880 4.020
0.860 4.001
0.840 3.981
0.820 3.962
0.800 3.941
0.780 3.922
0.760 3.904
0.740 3.884
0.720 3.866
0.700 3.846
0.680 3.827
0.660 3.807
0.640 3.788
0.620 3.769
0.600 3.751
0.580 3.733
0.560 3.714
0.540 3.699
0.520 3.685
0.500 3.671
0.480 3.660
0.460 3.649
0.440 3.637
0.420 3.626
0.400 3.617
0.380 3.607
0.360 3.597
0.340 3.586
0.320 3.574
0.300 3.562
0.280 3.550
0.260 3.537
0.240 3.524
0.220 3.507
0.200 3.488
0.180 3.469
0.160 3.449
0.140 3.427
0.120 3.400
0.100 3.363
0.080 3.325
0.060 3.276
0.040 3.206
0.020 3.105
0.000 2.984
