1.000 4.164
0.980 4.132
0.960 4.104
0.940 4.089
0.920 4.077
0.900 4.068
0.880 4.055
0.860 4.038
0.840 4.018
0.820 3.999
0.800 3.979
0.780 3.954
0.760 3.936
0.740 3.915
0.720 3.898
0.700 3.883
0.680 3.858
0.660 3.833
0.640 3.812
0.620 3.791
0.600 3.768
0.580 3.750
0.560 3.733
0.540 3.714
0.520 3.694
0.500 3.680
0.480 3.668
0.460 3.657
0.440 3.643
0.420 3.635
0.400 3.624
0.380 3.615
0.360 3.608
0.340 3.597
0.320 3.586
0.300 3.576
0.280 3.564
0.260 3.555
0.240 3.537
0.220 3.528
0.200 3.512
0.180 3.490
0.160 3.472
0.140 3.452
0.120 3.443
0.100 3.427
0.080 3.414
0.060 3.386
0.040 3.308
0.020 3.173
0.000 3.011
