1.000 4.169
0.980 4.127
0.960 4.101
0.940 4.087
0.920 4.078
0.900 4.071
0.880 4.066
0.860 4.058
0.840 4.050
0.820 4.035
0.800 4.019
0.780 4.000
0.760 3.980
0.740 3.957
0.720 3.935
0.700 3.914
0.680 3.891
0.660 3.874
0.640 3.858
0.620 3.844
0.600 3.832
0.580 3.815
0.560 3.800
0.540 3.785
0.520 3.767
0.500 3.751
0.480 3.732
0.460 3.712
0.440 3.691
0.420 3.668
0.400 3.647
0.380 3.625
0.360 3.602
0.340 3.581
0.320 3.557
0.300 3.536
0.280 3.517
0.260 3.495
0.240 3.463
0.220 3.432
0.200 3.400
0.180 3.368
0.160 3.335
0.140 3.298
0.120 3.259
0.100 3.221
0.080 3.179
0.060 3.138
0.040 3.086
0.020 3.024
0.000 2.952
